date,amount,cost_per_gram
2024-04-07T10:28:01.672,0.08,22.2,60c5bc32-5839-4b39-aad7-0a76a8ca789e
2024-04-07T11:48:25.361,0.08,22.2,e2894285-cf56-43f2-bf86-d3fc036e4a20
2024-04-07T13:13:57.562,0.08,22.2,40b0cfab-5a4c-4002-9b8f-50c2296bfcfa
2024-04-07T13:47:47.345,0.08,22.2,7d4bad30-dbab-4e50-8cb0-0d0abcdaabaf
2024-04-07T14:25:44.307,0.08,22.2,f37dd9bb-887f-4005-91ad-9baffb4d43d0
2024-04-07T17:00:02.693,0.08,22.2,0d1afabd-0ca0-474c-8a61-7905797a8bd0
2024-04-07T17:19:38.179,0.08,22.2,a9714869-4ed4-4e77-bf1b-1dc0295c8e2c
2024-04-07T17:38:34.232,0.08,22.2,efddd339-d437-43a7-808b-92fd7bba354c
2024-04-07T19:14:57.301,0.08,22.2,1f0ddd85-992a-4281-a83f-97795ccae0d6
2024-04-07T19:35:29.404,0.08,22.2,af64ba65-95f3-49d3-9143-e9b9aa700893
2024-04-07T23:20:04.344,0.08,22.2,2ffe2250-a728-4e52-b38e-bba13aa102b4
2024-04-07T23:47:01.989,0.08,22.2,54056f40-a430-4636-858a-9a9e04ac98bf
2024-04-08T00:03:41.5,0.08,22.2,7d49641b-9283-4a51-b8f9-8760c00cbe4b
2024-04-08T00:31:27.376,0.08,22.2,a1920958-54d4-4c38-a4c2-30e36095ca70
